,Lot,CD,ZipCode,ZoneDist1,BldgClass,LandUse,LotArea,BldgArea,ComArea,ResArea,OfficeArea,RetailArea,GarageArea,StrgeArea,FactryArea,OtherArea,NumBldgs,NumFloors,UnitsRes,UnitsTotal,LotFront,LotDepth,BldgFront,BldgDepth,ProxCode,BsmtCode,YearBuilt,BoroCode,CondoNo,BIN,IsBopa,geox,geoy
0,17,108,10128.0,75,98,5.0,5035,28728,28728,0,20000,0,8728,0,0,0,1,5.0,0,3,50.0,100.71,50.0,96.0,3.0,2.0,1925,1,0,1050732,0,40.778999525685954,-73.94588597616715
1,24,108,10128.0,65,16,4.0,11832,46421,4747,41674,671,4076,0,0,0,0,1,5.0,62,67,125.87,94.0,125.0,88.0,2.0,2.0,1920,1,0,1050734,0,40.779012954333275,-73.94526130860349
2,48,108,10128.0,13,16,4.0,6103,23740,4748,18992,0,1660,0,0,0,0,3,5.0,25,28,75.71,94.0,25.0,70.0,0.0,2.0,1915,1,0,1050744,0,40.77977675275998,-73.94688913955866
3,50,108,10128.0,13,16,4.0,2342,8486,1000,7486,0,1000,0,0,0,0,1,5.0,8,10,24.92,94.0,25.0,67.0,3.0,2.0,1915,1,0,1050745,0,40.7796505248816,-73.94695423403876
4,2,108,10128.0,13,16,4.0,2350,8835,1600,7235,0,1600,0,0,0,0,1,5.0,13,15,25.0,94.0,25.0,75.0,3.0,2.0,1920,1,0,1050747,0,40.780097769987606,-73.9466361281481
5,3,108,10128.0,13,16,4.0,2350,9645,1800,7845,0,1800,0,0,0,0,1,5.0,13,15,25.0,94.0,25.0,79.0,3.0,2.0,1920,1,0,1050748,0,40.780160877144226,-73.94658913724689
6,4,108,10128.0,13,16,4.0,2350,8745,1745,7000,0,1745,0,0,0,0,1,5.0,13,15,25.0,94.0,25.0,79.0,3.0,2.0,1920,1,0,1050749,0,40.78022124122119,-73.94654575925642
7,12,108,10128.0,51,76,5.0,5035,10066,10066,0,0,0,0,0,0,10066,1,2.0,0,1,50.0,100.71,40.0,60.0,3.0,2.0,1920,1,0,1050752,0,40.77979547005706,-73.94582394615288
8,22,108,10128.0,65,26,4.0,18933,346325,52751,293574,7361,390,45000,0,0,0,1,37.0,328,334,201.0,94.0,195.0,91.0,3.0,2.0,1986,1,0,1050756,0,40.779558970749605,-73.9448708974823
9,35,108,10128.0,51,35,10.0,7553,15000,15000,0,0,0,15000,0,0,0,1,2.0,0,1,75.0,100.71,75.0,100.0,3.0,0.0,1946,1,0,1050759,0,40.77995997529315,-73.94544468004851
10,49,108,10128.0,13,25,4.0,7796,194212,4000,190212,0,4000,0,0,0,0,1,32.0,196,199,100.0,75.71,94.0,75.0,3.0,2.0,2004,1,0,1086205,0,40.78039958189901,-73.9464011837983
11,14,108,10075.0,66,23,3.0,18900,232400,0,232400,0,0,0,0,0,0,1,30.0,163,163,185.0,102.25,178.0,102.0,1.0,2.0,1981,1,0,1050766,0,40.771027405545844,-73.94882762723608
12,37,108,10075.0,77,20,3.0,10216,62767,0,62767,0,0,0,0,0,0,1,8.0,103,103,100.0,102.17,100.0,74.0,3.0,2.0,1975,1,0,1050770,0,40.77135128470982,-73.94882737836619
13,27,108,10028.0,66,25,4.0,22783,109723,26426,83297,9426,0,17000,0,0,0,1,6.0,102,103,102.17,223.0,98.0,214.0,2.0,1.0,1950,1,0,1050872,0,40.77173507344257,-73.9477692545953
14,49,108,10028.0,65,141,4.0,1825,7925,1925,6000,0,1925,0,0,0,0,1,5.0,6,8,25.0,73.0,25.0,70.0,3.0,2.0,1920,1,0,1050878,0,40.77249329701096,-73.94928140851202
15,149,108,10028.0,65,47,5.0,1279,5855,0,0,0,0,0,0,0,0,1,5.0,0,1,25.0,51.17,25.0,42.0,3.0,2.0,1920,1,0,1050879,0,40.77239717070399,-73.94914428753698
16,7501,108,10028.0,77,121,3.0,12771,94886,8000,86886,0,0,8000,0,0,0,1,14.0,163,163,125.0,102.17,125.0,64.0,0.0,5.0,1964,1,33,1050880,0,40.77196862527863,-73.94832145498272
17,17,108,10028.0,77,13,2.0,12771,52000,0,52000,0,0,0,0,0,0,5,5.0,100,100,125.0,102.17,25.0,72.0,3.0,2.0,1900,1,0,1078720,0,40.7722181261041,-73.94772194100699
18,25,108,10028.0,66,20,3.0,4998,16110,0,16110,0,0,0,0,0,0,1,5.0,30,30,51.0,98.0,51.0,65.0,3.0,2.0,1910,1,0,1051138,0,40.7720998851498,-73.94724546667567
19,10,101,10004.0,53,173,4.405676442762536,123800,123800,123800,0,0,0,0,0,0,123800,2,3.0,0,1,362.0,177.33,37.0,227.0,1.0,0.0,1960,1,0,1000004,0,40.700917659109294,-74.0144440391975
20,28,101,10004.0,28,78,4.0,769,4104,4104,0,1026,3078,0,0,0,0,1,4.5,0,3,19.0,53.92,19.0,54.0,3.0,2.0,1920,1,0,1000009,0,40.703259317218134,-74.01107956228412
21,37,101,10004.0,28,111,8.0,1885,9240,9240,0,0,3770,0,0,0,5470,1,5.5,0,2,29.0,66.92,29.0,66.0,3.0,2.0,1900,1,0,1000013,0,40.70339929012429,-74.01118417798978
22,7501,101,10004.0,28,131,4.0,7780,44097,11254,32843,0,7200,0,4054,0,0,1,6.0,42,43,106.0,74.42,106.0,36.0,0.0,5.0,1920,1,735,1077806,0,40.70342677631622,-74.01078023920938
23,7502,101,10004.0,28,131,4.0,3095,14894,5087,9807,0,5087,0,0,0,0,1,4.5,1,2,29.42,106.58,30.0,107.0,0.0,5.0,1920,1,1695,1087449,0,40.70338009862224,-74.01095695677127
24,39,101,10004.0,28,53,5.0,5598,46724,0,0,0,0,0,0,0,0,1,7.5,0,1,78.92,57.15,78.0,57.0,3.0,2.0,1950,1,0,1078968,0,40.70311921039684,-74.01229857682567
25,44,101,10004.0,28,148,7.0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,111.42,138.08,0.0,0.0,0.0,5.0,0,1,0,1000016,0,40.70314395424368,-74.01190906620035
26,1,101,10004.0,28,100,5.0,29481,845018,845018,0,839651,5367,0,0,0,0,1,32.0,0,9,211.33,162.17,210.0,146.0,1.0,2.0,1970,1,0,1000018,0,40.702759534650475,-74.01330114564341
27,1,101,10004.0,28,98,5.0,8671,24484,24484,0,24484,0,0,0,0,0,1,2.0,0,1,22.08,191.75,22.0,191.0,2.0,2.0,1963,1,0,1000022,0,40.7034650676506,-74.01213994849309
28,14,101,10004.0,28,100,5.0,13214,365792,365792,0,365792,0,0,0,0,0,1,30.0,0,15,81.92,161.17,58.0,160.0,1.0,2.0,1986,1,0,1000023,0,40.70338266636777,-74.01268092874449
29,23,101,10004.0,28,100,5.0,18729,321994,321994,0,307948,14046,0,0,0,0,1,21.0,0,20,121.75,167.25,122.0,162.0,2.0,2.0,1962,1,0,1000027,0,40.703808096577696,-74.01275674949001
30,33,101,10004.0,28,46,5.0,6834,143730,0,0,0,0,0,0,0,0,1,43.0,0,1,71.5,125.0,71.12,125.0,0.0,2.0,2007,1,0,1087618,0,40.703841083609994,-74.0122987100015
31,15,101,10004.0,28,104,5.0,3060,19478,15218,4260,15218,0,0,0,0,0,1,5.5,3,4,44.0,66.08,43.0,65.0,2.0,0.0,1908,1,0,1000036,0,40.70481004137073,-74.01176509534966
32,21,101,10004.0,28,100,5.0,13135,361710,361710,0,348615,12000,0,1095,0,0,1,35.0,0,22,131.08,107.0,131.0,107.0,3.0,1.0,1935,1,0,1000038,0,40.70431048531761,-74.01185156763121
33,5,101,10004.0,28,100,5.0,28814,434220,434220,0,411720,22500,0,0,0,0,1,22.0,0,50,162.33,200.67,152.0,200.0,3.0,1.0,1900,1,0,1000044,0,40.705281857361975,-74.01427186139269
34,27,101,10004.0,28,100,5.0,48071,809401,809401,0,587215,42000,0,301,0,179885,1,23.0,0,12,202.92,248.33,203.0,248.0,0.0,2.0,1921,1,0,1000045,0,40.70575947957789,-74.01400145637443
35,7501,101,10004.0,28,131,4.0,64633,1202417,756035,446382,756035,0,0,0,0,0,2,31.0,500,602,180.67,363.96,0.0,0.0,0.0,5.0,1902,1,1025,1082634,0,40.70560004530172,-74.01583726119836
36,1,101,10280.0,38,76,5.0,83100,28732,28732,0,0,28732,0,0,0,0,1,3.0,0,1,77.0,293.0,40.0,323.0,1.0,0.0,1910,1,0,1085492,0,40.70410108068747,-74.01803336952291
37,20,101,10280.0,0,27,3.0,29700,230766,0,230765,0,0,0,0,0,0,1,9.0,209,210,198.0,150.0,0.0,0.0,0.0,5.0,1998,1,0,1085778,0,40.70729878254519,-74.01770240466377
38,185,101,10282.0,0,27,3.0,14451,278142,2000,276141,2000,0,0,0,0,0,1,24.0,253,256,196.0,70.0,196.0,70.0,1.0,2.0,2004,1,0,1086547,0,40.71628545671713,-74.0154610302042
39,195,101,10282.0,0,27,3.0,18270,356483,0,356483,0,0,0,0,0,0,1,24.0,274,276,196.0,135.0,0.0,0.0,0.0,5.0,2004,1,0,1086507,0,40.71695249596833,-74.01498861955153
40,200,101,10282.0,0,27,3.0,38225,484000,0,484000,0,0,0,0,0,0,2,27.0,396,400,141.75,196.0,202.0,0.0,1.0,0.0,1998,1,0,1085774,0,40.717718278851144,-74.01502847328429
41,210,101,10282.0,0,27,3.0,10292,357000,1000,356000,0,1000,0,0,0,0,1,42.0,340,341,100.0,121.0,0.0,0.0,0.0,5.0,1998,1,0,1085486,0,40.7182617873604,-74.01467145925544
42,7501,101,10280.0,0,131,4.0,16951,179174,1092,177488,0,1092,0,0,0,0,1,25.0,238,239,133.0,122.44,0.0,0.0,0.0,5.0,1985,1,308,1000061,0,40.70985138334244,-74.01789064578611
43,7502,101,10280.0,0,121,3.0,27838,123284,11136,112148,0,0,10690,0,0,446,1,15.0,133,133,287.38,100.5,287.0,100.0,0.0,5.0,1986,1,313,1000301,0,40.71010669571937,-74.0175696914088
44,7505,101,10280.0,0,131,4.0,23910,203837,1177,202660,1177,0,0,0,0,0,1,26.0,246,247,160.0,149.63,0.0,0.0,0.0,5.0,1987,1,371,1000544,0,40.70907733373284,-74.01805996436771
45,7508,101,10280.0,0,131,4.0,37248,428589,4750,423839,1640,3110,0,0,0,0,1,44.0,545,547,166.0,188.0,0.0,0.0,0.0,5.0,1987,1,498,1065475,0,40.70847098942676,-74.01640062131241
