,Address,corx,cory
0,1 GOVERNORS ISLAND,40.688798898913774,-74.01867467751758
1,1 LIBERTY ISLAND,40.689919584101055,-74.04533706805685
2,1 ELLIS ISLAND,40.69818833674602,-74.04132881851893
3,JOE DIMAGGIO HIGHWAY,0,0
4,JOE DIMAGGIO HIGHWAY,0,0
5,MARGINAL STREET,0,0
6,10 SOUTH STREET,40.70055018346733,-74.0115876259819
7,MARGINAL STREET,0,0
8,1 PIER 6,40.70117071271864,-74.00924349884778
9,10 BATTERY PARK,40.70280590284233,-74.01563102098667
10,PETER MINUIT PLAZA,40.70195259142104,-74.01314590266166
11,PETER MINUIT PLAZA,40.70195259142104,-74.01314590266166
12,nan,0,0
13,1 SOUTH STREET,40.7009176591093,-74.0144440391975
14,1 WATER STREET,40.702153082324614,-74.01202069281622
15,115 BROAD STREET,40.7027762723516,-74.01072242838208
16,125 BROAD STREET,40.70226575667755,-74.01060693588342
17,24 SOUTH STREET,40.702608915329904,-74.00990009822023
18,30 WATER STREET,40.703289515174944,-74.01102186122299
19,28 WATER STREET,40.70325931721813,-74.01107956228412
20,26 WATER STREET,40.70324558712506,-74.01114447929943
21,24 WATER STREET,40.70320440758609,-74.01122742479946
22,105 BROAD STREET,40.70317145802179,-74.01135365107673
23,101 BROAD STREET,40.70329223053131,-74.01132481860436
24,99 BROAD STREET,0,0
25,58 PEARL STREET,40.70339929012429,-74.01118417798978
26,60 PEARL STREET,40.703440471021516,-74.01108680566811
27,1 COENTIES SLIP,40.70342677631622,-74.01078023920938
28,32 WATER STREET,40.70338009862224,-74.01095695677127
29,32 PEARL STREET,40.703119210396835,-74.01229857682567
30,102 BROAD STREET,40.70314395424368,-74.01190906620035
31,6 WATER STREET,40.702970999992964,-74.01223363045327
32,39 WHITEHALL STREET,40.70293526964319,-74.01268084364096
33,34 WHITEHALL STREET,40.70275953465048,-74.0133011456434
34,7 STATE STREET,40.70260852817195,-74.01367980779743
35,17 STATE STREET,40.70289121525375,-74.01387822927137
36,24 WHITEHALL STREET,40.70334686400964,-74.01373045217075
37,100 BROAD STREET,40.70346506765059,-74.0121399484931
38,33 WHITEHALL STREET,40.70338266636777,-74.01268092874449
39,27 WHITEHALL STREET,40.70348969018115,-74.01287931434887
40,90 BROAD STREET,40.70380543814014,-74.01195246426514
41,25 BRIDGE STREET,40.70372305059903,-74.01237442794852
42,1 WHITEHALL STREET,40.703808096577696,-74.01275674949001
43,6 STONE STREET,40.70388498043931,-74.01247905121114
44,8 STONE STREET,40.70384108361,-74.0122987100015
45,2 BROADWAY,40.70452172661063,-74.01283623337805
46,16 BEAVER STREET,40.70482368763824,-74.01250086721188
47,18 BEAVER STREET,40.70481821058566,-74.01238545137794
48,20 BEAVER STREET,40.70481822063764,-74.01229167684923
49,22 BEAVER STREET,40.704818229848605,-74.01220511574579
50,24 BEAVER STREET,40.70481549385009,-74.01212216085584
51,26 BEAVER STREET,40.704812763062044,-74.01198871199982
52,70 BROAD STREET,40.70481004137073,-74.01176509534966
53,74 BROAD STREET,40.70464534920976,-74.01182638024088
54,80 BROAD STREET,40.70431048531762,-74.01185156763121
55,88 BROAD STREET,40.7041046268421,-74.01186235105564
56,nan,0,0
57,11 STONE STREET,40.704200654343836,-74.01223746279038
58,15 STONE STREET,40.7042061598786,-74.01208598325788
59,2 WHITEHALL STREET,40.70403579786889,-74.01374862741973
60,WHITEHALL STREET,0,0
61,1 BROADWAY,40.704949717906416,-74.01445573299668
62,11 BROADWAY,40.70528185736198,-74.01427186139269
63,25 BROADWAY,40.70575947957789,-74.01400145637444
64,21 WEST STREET,40.70638234437273,-74.01553447607692
65,17 BATTERY PLACE,40.705600045301715,-74.01583726119836
66,20 WEST STREET,40.70618196634995,-74.01561017189873
