Lat,Lon,GI_BA_S_CP,GI_BA_S_STREET,GI_BA_S_ARTERY,GI_BA_S_HOUSE_NO,Address,Latitude,Longitude
0,0,,3,AV,1580,1580 3 AVENUE,40.78072909,-73.95300151
0,0,,AMSTERDAM,AV,768,768 AMSTERDAM AVENUE,40.79520223,-73.96992252
0,0,,BROADWAY,,552,552 BROADWAY,40.72369733,-73.99793998
0,0,,BROOME,ST,378,378 BROOME STREET,40.72055179,-73.99630585
0,0,,LEONARD,ST,88,343 BROADWAY,40.71691221,-74.00467154
0,0,E,111,ST,163,163 EAST 111 STREET,40.7954723,-73.94356837
0,0,E,82,ST,127,127 EAST 82 STREET,40.77723959,-73.9576653
0,0,E,86,ST,163,163 EAST 86 STREET,40.77936282,-73.95452982
0,0,W,13,ST,227-29,227 WEST 13 STREET,40.73859312,-74.00138929
0,0,W,141,ST,474,474 WEST 141 STREET,40.82237875,-73.94930842
0,0,W,18,ST,15,15 WEST 18 STREET,40.73915558,-73.99281173
0,0,W,21,ST,1,162 5 AVENUE,40.74058545,-73.99080877
0,0,W,22,ST,146-148,146 WEST 22 STREET,40.74280622,-73.99522921
0,0,W,41,ST,206,206 WEST 41 STREET,40.75539312,-73.98808881
0,0,W,64,ST,213-215,200 WEST 65 STREET,40.7742026,-73.98597693
5.46999999784248E-06,0.000472690000009379,W,12,ST,12,13 WEST 11 STREET,40.73454726,-73.99521897
5.51000000115209E-06,0.000299449999999979,,CANAL,ST,530,290 WEST STREET,40.72491279,-74.0104987
5.54999999735628E-06,0.000393220000006522,,ATTORNEY,ST,162,155 RIDGE STREET,40.72050669,-73.98308414
1.0939999995685E-05,0.000342719999991914,,ESSEX,ST,156,153 NORFOLK STREET,40.72055385,-73.9868829
1.09699999981672E-05,0.000270540000002484,E,BROADWAY,,26,32 EAST BROADWAY,40.7137201,-73.99676435
1.37299999991569E-05,8.65900000093234E-05,,CHRISTOPHER,ST,91,89 CHRISTOPHER STREET,40.73360584,-74.00412425
1.64599999976645E-05,0.000360720000003312,E,BROADWAY,,26,34 EAST BROADWAY,40.7137201,-73.99676435
1.92199999986542E-05,8.29899999956751E-05,W,10,ST,228,226 WEST 10 STREET,40.73371833,-74.00513097
2.19299999955069E-05,0.000220080000005396,,CANAL,ST,530,528 CANAL STREET,40.72491279,-74.0104987
2.47099999981515E-05,8.29600000002984E-05,,CANAL,ST,93,91 CANAL STREET,40.71559464,-73.99360426
2.74099999941768E-05,0.000400490000004083,,2,AV,95,235 EAST 5 STREET,40.72725952,-73.98906076
2.74500000045919E-05,8.2990000009886E-05,W,10,ST,228,230 WEST 10 STREET,40.73371833,-74.00513097
2.74699999991412E-05,0.000176780000003873,,1,AV,118,93 EAST 7 STREET,40.72696543,-73.98543847
3.55000000027417E-05,0.000364890000000173,W,129,ST,1,2108 5 AVENUE,40.80937021,-73.94080757
3.56800000034241E-05,0.000274149999995643,E,BROADWAY,,26,20 EAST BROADWAY,40.7137201,-73.99676435
3.57300000004557E-05,0.000386040000009302,,1,AV,118,97 EAST 7 STREET,40.72696543,-73.98543847
3.83900000002768E-05,0.000396879999996713,E,4,ST,99,310 EAST 5 STREET,40.72605452,-73.98854865
3.84199999956536E-05,9.02099999962047E-05,,AV A,,119,121 AVENUE A,40.72650131,-73.98356969
3.84300000035864E-05,0.000126260000001821,,CANAL,ST,93,95 CANAL STREET,40.71559464,-73.99360426
3.84300000035864E-05,0.000245320000004767,,CANAL,ST,365,3 WOOSTER STREET,40.72129561,-74.00406938
3.85499999993044E-05,0.000389819999995211,E,58,ST,250,242 EAST 58 STREET,40.75999139,-73.96511947
