GI_BA_S_CP,GI_BA_S_STREET,GI_BA_S_ARTERY,GI_BA_S_HOUSE_NO,GI_BA_X_CP,GI_BA_X_STREET,GI_BA_X_ARTERY,GI_BA_S_ZIP_CD1,BIN,Latitude,Longitude
W,13,ST,227-29,,GREENWICH,AV,10014,1011121,40.73859312,-74.00138929
W,10,ST,228,,BLEECKER,ST,10014,1078172,40.73371833,-74.00513097
W,14,ST,413,,9,AV,10014,1080357,40.74159572,-74.00619975
,WASHINGTON,ST,586-98,,CLARKSON,ST,10014,1010388,40.72995774,-74.00955779
,CLARKSON,ST,1,S,7,AV,10014,1088894,40.72962589,-74.00544095
,9,AV,57,W,14,ST,10014,1012535,40.741335,-74.00555016
E,28,ST,161,,3,AV,10016,1018219,40.74217621,-73.98104331
,3,AV,384,E,28,ST,10016,1018181,40.74183318,-73.98140428
E,34,ST,58,,PARK,AV,10016,1017086,40.7471444,-73.98221122
E,38,ST,20,,MADISON,AV,10016,1017221,40.75021017,-73.98152105
E,40,ST,9,,MADISON,AV,10016,1081143,40.75202983,-73.98086366
E,40,ST,15,,MADISON,AV,10016,1035315,40.75191176,-73.98058578
,3,AV,386,E,28,ST,10016,1018182,40.74189356,-73.98136457
,3,AV,523,E,35,ST,10016,1020173,40.74619663,-73.97745848
E,39,ST,42738,,5,AV,10016,1017603,40.75158807,-73.98175166
,2,AV,851,E,46,ST,10017,1037591,40.7522528,-73.97084062
,2,AV,837,E,45,ST,10017,1037575,40.7517012,-73.97119818
W,38,ST,101,,6,AV,10018,1015272,40.7527744,-73.98603558
W,40,ST,406-410,,9,AV,10018,1013004,40.75721885,-73.99418141
W,36,ST,301,,8,AV,10018,1013597,40.75370275,-73.99277767
W,39,ST,300,,8,AV,10018,1013646,40.75533579,-73.99158999
W,40,ST,300,,8,AV,10018,1013688,40.7559396,-73.99114594
,7,AV,545,W,39,ST,10018,1015275,40.75419361,-73.98756566
,BROADWAY,,1700,W,54,ST,10019,1024836,40.76351133,-73.98227183
,10,AV,841-849,W,56,ST,10019,1087635,40.76832377,-73.98975078
W,50,ST,340,,8,AV,10019,1086781,40.76254314,-73.98768684
W,55,ST,200,,7,AV,10019,1024856,40.76425226,-73.98136915
W,50,ST,525,,10,AV,10019,1083802,40.76547495,-73.9927042
W,57,ST,502,,10,AV,10019,1027066,40.76899066,-73.98896005
W,58,ST,465,,9,AV,10019,1082718,40.76969585,-73.98688766
,7,AV,848-852,W,54,ST,10019,1024854,40.76407113,-73.98149915
W,49,ST,347,,8,AV,10019,1083732,40.76254314,-73.98768684
E,79,ST,348-358,,1,AV,10021,1045256,40.77227268,-73.95331436
E,79,ST,400,,1,AV,10021,1081250,40.77203905,-73.95251302
,2,AV,1328-1342,E,71,ST,10021,1044853,40.76768006,-73.95875802
,2,AV,1404,E,73,ST,10021,1044897,40.76948289,-73.95747167
E,74,ST,300,,2,AV,10021,1089033,40.76970793,-73.95740293
E,79,ST,222,,3,AV,10021,1044180,40.77359411,-73.95641119
E,79,ST,244,,2,AV,10021,1080481,40.77333587,-73.95579758
E,79,ST,53,,PARK,AV,10021,1046438,40.77633515,-73.96144977
,2,AV,1534,E,80,ST,10021,1049259,40.77375799,-73.9543459
,3,AV,1339-41,E,76,ST,10021,1044093,40.77257647,-73.95818094
E,79,ST,320,,2,AV,10021,1045269,40.77269026,-73.95427082
E,62,ST,137,,LEXINGTON,AV,10021,1042035,40.76430119,-73.96698354
E,58,ST,234,,3,AV,10022,1038609,40.76012882,-73.96574387
E,58,ST,240,,3,AV,10022,1038607,40.7600574,-73.96557064
E,58,ST,250,,2,AV,10022,1038605,40.75999139,-73.96511947
,2,AV,951,E,51,ST,10022,1038441,40.75527692,-73.96857617
,2,AV,957,E,51,ST,10022,1038444,40.7554306,-73.96848586
E,57,ST,255,,2,AV,10022,1038599,40.75954959,-73.96543735
E,57,ST,201,,,,10022,1089950,40.76032957,-73.96708298
,2,AV,975,E,51,ST,10022,1038474,40.75599864,-73.96805246
E,52,ST,253,,2,AV,10022,1038529,40.7563554,-73.96783933
E,58,ST,210,,3,AV,10022,1038613,40.76040348,-73.96638987
E,58,ST,230,,3,AV,10022,1038611,40.76018925,-73.96588823
E,58,ST,232,,2,AV,10022,1038610,40.76016452,-73.96582327
E,59,ST,56,,MADISON,AV,10022,1036086,40.76302863,-73.97067707
E,60,ST,301,,2,AV,10022,1081227,40.76123702,-73.96353052
E,58,ST,208,,3,AV,10022,1038614,40.76048039,-73.96657754
E,51,ST,252,,2,AV,10022,1038445,40.75551018,-73.96842808
,2,AV,955,E,51,ST,10022,1038443,40.75537846,-73.96852198
,2,AV,953,E,50,ST,10022,1038442,40.75532906,-73.9685581
,2,AV,977,E,52,ST,10022,1038475,40.75604529,-73.96801634
,2,AV,1029-43,E,54,ST,10022,1038575,40.75784824,-73.96679544
W,END,AV,30,,,,10023,1088889,40.77249298,-73.98924829
,AMSTERDAM,AV,162,W,67,ST,10023,1030345,40.77570648,-73.9841569
W,64,ST,213-215,,AMSTERDAM,AV,10023,1030341,40.7742026,-73.98597693
W,60,ST,253,,AMSTERDAM,AV,10023,1030313,40.77229813,-73.98954799
W,72,ST,169,,AMSTERDAM,AV,10023,1029916,40.77870876,-73.98111957
W,81,ST,45,,COLUMBUS,AV,10024,1031135,40.783173,-73.97371223
W,86,ST,131-135,,COLUMBUS,AV,10024,1032193,40.78722686,-73.97326285
W,106,ST,154-158,,AMSTERDAM,AV,10025,1055943,40.79993832,-73.96525746
W,106,ST,154-158,,AMSTERDAM,AV,10025,1055943,40.79993832,-73.96525746
,AMSTERDAM,AV,768,W,98,ST,10025,1056379,40.79520223,-73.96992252
,AMSTERDAM,AV,935,W,106,ST,10025,1055944,40.80013053,-73.96552825
,AMSTERDAM,AV,969,W,108,ST,10025,1055995,40.80132697,-73.96465715
,COLUMBUS,AV,1003,,,,10025,1055740,40.80120509,-73.96120782
W,34,ST,130,,BROADWAY,,10001,1015205,40.75016451,-73.98937461
,AMSTERDAM,AV,915,W,105,ST,10025,1055926,40.79949942,-73.96611008
,BROADWAY,,2563,W,96,ST,10025,1056068,40.79523021,-73.97206058
,COLUMBUS,AV,941,W,106,ST,10025,1055642,40.79927048,-73.96249837
W,110,ST,544-46,,AMSTERDAM,AV,10025,1056718,40.80356155,-73.96590574
W,95,ST,118,,COLUMBUS,AV,10025,1032564,40.79236394,-73.96902455
W,105,ST,153,,AMSTERDAM,AV,10025,1055930,40.79958698,-73.96519985
W,105,ST,165,,AMSTERDAM,AV,10025,1075311,40.79982044,-73.96575595
W,118,ST,8,,5,AV,10026,1051436,40.80187431,-73.94629359
W,116,ST,222,,7,AV,10026,1085306,40.8034448,-73.95380179
,MANHATTAN,AV,400,W,117,ST,10026,1059061,40.80576491,-73.9558808
W,116,ST,232-234,,7,AV,10026,1055244,40.80361514,-73.95420623
W,116,ST,160,,,,10026,1055056,40.80263157,-73.95187354
W,118,ST,301,,8,AV,10026,1087277,40.8061651,-73.95450067
,8,AV,2153,,,,10026,1059021,40.8047602,-73.95551303
W,35,ST,27,,,,10001,1015892,40.7498841,-73.98534684
W,116,ST,300,,,,10026,1055855,40.80438428,-73.95580225
,MANHATTAN,AV,391,W,116,ST,10026,1059009,40.80539473,-73.95682382
W,28,ST,127,,,,10001,1015107,40.7467914,-73.99172821
W,116,ST,240,,8,AV,10026,1081574,40.80376349,-73.9545565
W,116,ST,252,,8,AV,10026,1055248,40.80394756,-73.95499343
